rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-001_T1w	2239.0	2473.0	6551.0	3840.0	2850.0	10488.0	17381.0	11888.0	2734.0	13936.0	9291.0	7494.0	6592.0	14355.0	2390.0	5098.0	3913.0	3401.0	4355.0	2447.0	10205.0	3475.0	14472.0	12889.0	2258.0	17425.0	22480.0	18672.0	12619.0	13828.0	1554.0	1332.0	964.0	7509.0	1240669.0	1550302.42817
sub-002_T1w	2467.0	2169.0	4530.0	3715.0	1400.0	9528.0	16956.0	11203.0	2252.0	15580.0	9069.0	8070.0	6600.0	13044.0	2259.0	4247.0	3699.0	3401.0	4837.0	2023.0	10125.0	2977.0	14026.0	10756.0	1931.0	15977.0	20494.0	12199.0	13054.0	11767.0	1654.0	2318.0	1001.0	7344.0	1148909.0	1472141.96435
sub-003_T1w	3179.0	2091.0	4214.0	3194.0	2170.0	11512.0	16690.0	14317.0	2190.0	12276.0	8767.0	6048.0	6140.0	14783.0	1817.0	3751.0	4234.0	3715.0	5137.0	1964.0	9852.0	3295.0	12006.0	9348.0	2381.0	15788.0	22037.0	11938.0	13183.0	12402.0	1402.0	3034.0	891.0	7402.0	1086548.0	1390167.06068
sub-004_T1w	2371.0	1901.0	7370.0	4695.0	2504.0	11907.0	15344.0	12955.0	2916.0	15235.0	8868.0	10041.0	6535.0	13530.0	2564.0	4251.0	6819.0	3808.0	4981.0	3705.0	10583.0	3921.0	14626.0	11430.0	1829.0	20898.0	27671.0	14506.0	13789.0	13299.0	1328.0	2004.0	1299.0	8816.0	1309284.0	1653974.93663
sub-005_T1w	2484.0	1500.0	5004.0	2638.0	1896.0	11223.0	17515.0	11965.0	2318.0	11822.0	7526.0	6835.0	5281.0	13798.0	1841.0	3764.0	3515.0	2502.0	3706.0	1945.0	9438.0	2810.0	12234.0	11390.0	2071.0	15194.0	20032.0	12948.0	10678.0	9307.0	1304.0	1862.0	895.0	7144.0	1148995.0	1349287.88961
sub-006_T1w	1976.0	2137.0	5685.0	4642.0	2194.0	10176.0	13319.0	10718.0	2521.0	13967.0	7600.0	9210.0	5682.0	12816.0	1947.0	4387.0	5162.0	3113.0	4229.0	3840.0	9584.0	2835.0	11532.0	8412.0	2342.0	15880.0	19811.0	12406.0	11592.0	10688.0	1213.0	2097.0	961.0	7183.0	1113989.0	1364911.2035
sub-007_T1w	2197.0	2773.0	6713.0	3172.0	2243.0	8688.0	12515.0	10610.0	2101.0	14114.0	7409.0	7393.0	5066.0	10779.0	2297.0	3637.0	4268.0	2722.0	4323.0	2092.0	9252.0	3574.0	12525.0	9868.0	2108.0	15605.0	19538.0	13234.0	10974.0	7857.0	1404.0	2615.0	777.0	6557.0	997757.0	1295857.75516
sub-008_T1w	2488.0	1425.0	6269.0	3346.0	2036.0	9790.0	13569.0	11504.0	1769.0	12717.0	7208.0	6837.0	4669.0	13593.0	1975.0	3628.0	3974.0	2497.0	3808.0	1957.0	9018.0	2958.0	13924.0	8771.0	1821.0	13969.0	21282.0	11650.0	12524.0	9813.0	1503.0	2014.0	1067.0	6426.0	1045809.0	1306845.3774
sub-009_T1w	2106.0	1350.0	5001.0	3323.0	1412.0	9071.0	11769.0	10465.0	2236.0	11976.0	6939.0	7281.0	5504.0	12031.0	1694.0	3111.0	3479.0	2697.0	4167.0	2264.0	7659.0	2873.0	11283.0	9203.0	1143.0	17802.0	19438.0	10805.0	11792.0	8075.0	997.0	1723.0	876.0	6772.0	1035591.0	1341126.85205
sub-010_T1w	2530.0	2136.0	6286.0	3202.0	1658.0	9718.0	14696.0	11322.0	1902.0	11156.0	8156.0	6235.0	6115.0	12094.0	1982.0	3843.0	3938.0	2625.0	4122.0	1745.0	7823.0	3072.0	12426.0	9875.0	2152.0	14776.0	22646.0	12102.0	14054.0	9577.0	1087.0	2758.0	1033.0	6963.0	1120427.0	1395468.25857
sub-011_T1w	2939.0	2826.0	7389.0	3957.0	1527.0	11264.0	14359.0	13519.0	3288.0	13050.0	9858.0	6918.0	7162.0	13947.0	2092.0	4141.0	4683.0	3015.0	4261.0	2453.0	9575.0	3913.0	13973.0	10378.0	2465.0	15869.0	22577.0	12092.0	13410.0	12030.0	1379.0	2553.0	938.0	7627.0	1191733.0	1529630.34573
sub-012_T1w	2142.0	1668.0	6007.0	3153.0	1672.0	10717.0	15052.0	11117.0	2111.0	11973.0	6744.0	7253.0	6290.0	12288.0	2183.0	3294.0	3557.0	2202.0	4008.0	2358.0	8587.0	2012.0	13012.0	8918.0	1475.0	13789.0	19084.0	10711.0	11558.0	9425.0	1489.0	2596.0	827.0	6417.0	1048560.0	1454349.67606
sub-013_T1w	4230.0	2689.0	8683.0	4404.0	2351.0	13876.0	22238.0	17413.0	2821.0	18207.0	9242.0	7770.0	7291.0	17667.0	2517.0	5616.0	7074.0	2716.0	5883.0	3214.0	11436.0	3931.0	16847.0	15810.0	2880.0	20699.0	27843.0	20737.0	15638.0	16783.0	1302.0	2913.0	1112.0	9341.0	1587099.0	2054959.58291
