rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
HC19	3052.0	3244.0	7215.0	3179.0	2291.0	11384.0	20025.0	13562.0	3137.0	16637.0	7942.0	7237.0	6886.0	16973.0	2170.0	4719.0	4788.0	3175.0	4973.0	2014.0	10990.0	4809.0	13902.0	12799.0	3213.0	23431.0	27200.0	16273.0	13290.0	14714.0	1492.0	2193.0	1142.0	9105.0	1341190.0	1755714.90033
HC20	1836.0	1567.0	5159.0	3309.0	1742.0	8629.0	12032.0	9274.0	2343.0	10580.0	6320.0	6468.0	4109.0	9270.0	1791.0	3772.0	4114.0	2285.0	3913.0	2362.0	7339.0	2781.0	10748.0	8920.0	1235.0	13019.0	18721.0	10670.0	9228.0	8486.0	1194.0	2505.0	728.0	5503.0	943366.0	1217338.0338
HC21	1951.0	2193.0	3692.0	2706.0	2302.0	8312.0	12960.0	9589.0	2293.0	10159.0	6921.0	6169.0	5263.0	11490.0	2035.0	3332.0	4039.0	2478.0	3609.0	1685.0	10035.0	2909.0	10755.0	9079.0	1588.0	15053.0	16642.0	12465.0	10778.0	11337.0	1189.0	2160.0	1030.0	5937.0	1038921.0	1432449.32457
HC22	2216.0	2138.0	8607.0	3413.0	2332.0	13130.0	21287.0	12546.0	3366.0	19535.0	8986.0	8493.0	7120.0	13361.0	2337.0	3473.0	5551.0	4107.0	6341.0	1716.0	7068.0	3951.0	9104.0	11791.0	2538.0	26789.0	30075.0	11305.0	14392.0	10536.0	1811.0	3008.0	1017.0	8434.0	1358307.0	1770367.29517
HC23	2411.0	1994.0	6656.0	3540.0	1733.0	10191.0	14957.0	11256.0	2631.0	12427.0	8276.0	7556.0	5954.0	10759.0	1664.0	4385.0	4439.0	3169.0	4006.0	2404.0	11334.0	3682.0	14844.0	12201.0	2008.0	16878.0	24778.0	15012.0	13353.0	13419.0	1400.0	2990.0	809.0	8037.0	1254038.0	1759726.15815
HC24	2506.0	2250.0	4450.0	3099.0	2436.0	11368.0	17984.0	10756.0	2475.0	14216.0	7325.0	6483.0	5754.0	11645.0	2399.0	3925.0	3591.0	3262.0	4859.0	1496.0	7903.0	3843.0	14589.0	10368.0	1635.0	15549.0	19971.0	13332.0	12565.0	8553.0	1592.0	2261.0	1082.0	7220.0	1121318.0	1567888.30798
HC25	1815.0	2334.0	5634.0	3888.0	1452.0	9367.0	16683.0	11952.0	1906.0	15656.0	7432.0	6479.0	5237.0	12658.0	1711.0	3990.0	2968.0	3184.0	3917.0	1767.0	9931.0	3399.0	14593.0	9868.0	1896.0	19831.0	22501.0	13524.0	11240.0	8497.0	1484.0	2360.0	749.0	6521.0	1125782.0	1483996.54493
HC26	1635.0	1101.0	5395.0	2036.0	2106.0	8437.0	14108.0	10284.0	1964.0	10971.0	6504.0	5689.0	4607.0	9123.0	1693.0	3345.0	4863.0	2751.0	4184.0	1370.0	8208.0	2376.0	11352.0	8573.0	901.0	12814.0	18786.0	11524.0	9298.0	8210.0	1181.0	2039.0	751.0	6023.0	1060684.0	1356013.60175
HC27	2119.0	2198.0	6615.0	3325.0	2029.0	9446.0	14727.0	8515.0	2751.0	12940.0	7896.0	8088.0	5776.0	14094.0	2199.0	4004.0	4277.0	3343.0	5021.0	2244.0	8676.0	3817.0	13998.0	10875.0	2066.0	16465.0	22812.0	16422.0	11112.0	11374.0	1289.0	2417.0	847.0	6221.0	1218804.0	1613678.77089
HC28	2523.0	1367.0	5388.0	2404.0	2070.0	8802.0	14636.0	10091.0	2267.0	10095.0	6618.0	6515.0	5572.0	12499.0	2065.0	4254.0	4555.0	2716.0	4548.0	2102.0	9373.0	3110.0	11031.0	10487.0	1512.0	15646.0	21735.0	12704.0	11874.0	10082.0	1387.0	2472.0	899.0	6548.0	1033826.0	1371771.85873
HC29	2102.0	1428.0	5466.0	3290.0	1743.0	10583.0	13112.0	11840.0	3188.0	13735.0	6490.0	7084.0	5702.0	12102.0	1869.0	2990.0	4641.0	2298.0	4526.0	2412.0	8679.0	3089.0	10975.0	9587.0	1022.0	14185.0	19774.0	11593.0	12041.0	9092.0	1655.0	2720.0	902.0	7456.0	1178842.0	1630016.10142
HC30	2086.0	1805.0	4940.0	2816.0	1822.0	7501.0	13336.0	9187.0	2071.0	12350.0	7162.0	6905.0	4511.0	10381.0	2155.0	3109.0	4105.0	2210.0	3095.0	1894.0	7360.0	2722.0	11371.0	7824.0	1998.0	12108.0	17836.0	9287.0	9885.0	8040.0	1235.0	2466.0	701.0	5957.0	992594.0	1270474.3074
HC31	2232.0	1209.0	5241.0	2892.0	1688.0	7777.0	14399.0	10362.0	1538.0	12378.0	7288.0	5830.0	6260.0	12699.0	1698.0	3814.0	3406.0	2611.0	3925.0	1458.0	7788.0	2169.0	10761.0	9623.0	1453.0	13851.0	20283.0	11521.0	9994.0	9407.0	1478.0	2815.0	817.0	6530.0	984975.0	1291252.0622
HC32	1934.0	1978.0	5597.0	2626.0	1667.0	8210.0	12980.0	8582.0	1653.0	11234.0	6604.0	6207.0	4577.0	10093.0	1762.0	3498.0	4647.0	2943.0	5075.0	1675.0	7011.0	2925.0	11174.0	8904.0	1715.0	12663.0	18107.0	11231.0	10794.0	8007.0	1474.0	2353.0	710.0	5625.0	960686.0	1233544.21746
HC33	1788.0	2268.0	7123.0	3196.0	2097.0	11239.0	13307.0	11764.0	2524.0	13051.0	8115.0	7393.0	5911.0	12287.0	1979.0	2970.0	3806.0	2897.0	4569.0	1496.0	8611.0	3279.0	14086.0	9834.0	2218.0	19151.0	21320.0	13096.0	10209.0	9710.0	1245.0	2796.0	1010.0	7303.0	1167159.0	1533263.31335
HC34	2576.0	2105.0	6882.0	3858.0	1481.0	10041.0	14751.0	10316.0	2625.0	15136.0	7240.0	7302.0	6177.0	11502.0	1932.0	4493.0	4233.0	2533.0	5001.0	2438.0	8789.0	2974.0	13124.0	10992.0	1822.0	16507.0	22286.0	13184.0	12379.0	9325.0	1397.0	2224.0	887.0	6640.0	1204749.0	1548834.71554
HC35	2214.0	1918.0	6801.0	2527.0	1859.0	10740.0	14897.0	13945.0	2357.0	11364.0	7570.0	7935.0	5489.0	12966.0	2358.0	3780.0	4326.0	2555.0	3779.0	1441.0	9841.0	2638.0	12678.0	12103.0	1810.0	14837.0	20651.0	14211.0	12549.0	11379.0	1359.0	2786.0	744.0	7715.0	1175663.0	1584840.82554
HC36	2762.0	2141.0	6608.0	2811.0	1547.0	8890.0	18024.0	10831.0	3064.0	13115.0	7573.0	7567.0	5670.0	14975.0	2383.0	3808.0	4051.0	3106.0	4038.0	2341.0	9753.0	3180.0	13015.0	10226.0	2158.0	19161.0	21046.0	12419.0	11619.0	10421.0	1534.0	2267.0	941.0	6994.0	1102356.0	1379687.03116
HC37	1718.0	2001.0	4894.0	2824.0	1548.0	9166.0	12513.0	9962.0	1960.0	11090.0	7307.0	4774.0	4595.0	10824.0	1995.0	3515.0	3733.0	2618.0	4083.0	1504.0	8593.0	2756.0	11655.0	9641.0	1706.0	14359.0	18536.0	12647.0	9278.0	8319.0	1387.0	2245.0	767.0	6366.0	1002083.0	1375185.99052
HC38	2743.0	1998.0	11911.0	3606.0	2450.0	11052.0	24268.0	16440.0	3538.0	15725.0	10307.0	7918.0	7512.0	15513.0	2359.0	3910.0	5207.0	3603.0	5611.0	2047.0	11897.0	3949.0	15775.0	11973.0	2845.0	24678.0	32868.0	14289.0	12923.0	13819.0	1592.0	2539.0	1126.0	7871.0	1404514.0	1809161.95117
HC39	2394.0	1991.0	5102.0	3698.0	1995.0	9966.0	16946.0	9539.0	2206.0	15672.0	6929.0	7945.0	4837.0	12022.0	1826.0	3935.0	4155.0	3315.0	4282.0	2612.0	10098.0	2977.0	13297.0	11282.0	2133.0	16453.0	22078.0	15479.0	11853.0	9602.0	1976.0	3422.0	806.0	7114.0	1127463.0	1486390.11104
HC40	1954.0	1590.0	4351.0	3291.0	1326.0	7703.0	12251.0	8129.0	2331.0	10797.0	5708.0	6999.0	5118.0	10507.0	2204.0	3791.0	3388.0	2769.0	3747.0	2488.0	10417.0	2832.0	12477.0	8767.0	1532.0	13004.0	20168.0	10958.0	11395.0	10789.0	1241.0	1951.0	944.0	6094.0	988516.0	1329048.68539
HC41	2977.0	2174.0	6985.0	3734.0	1958.0	9946.0	17367.0	14836.0	2634.0	16914.0	8673.0	9893.0	5899.0	17185.0	2143.0	3781.0	5034.0	3438.0	5933.0	3149.0	10118.0	3878.0	14511.0	10136.0	1778.0	20367.0	27517.0	11835.0	14210.0	11970.0	1540.0	2085.0	1401.0	8693.0	1308270.0	1772273.6212
HC42	2041.0	1306.0	4447.0	2424.0	1885.0	7373.0	13541.0	10334.0	2418.0	11749.0	6981.0	5596.0	4673.0	11465.0	1348.0	3368.0	3558.0	2565.0	3347.0	1256.0	8503.0	2902.0	11725.0	8730.0	1647.0	13270.0	19613.0	11383.0	9851.0	9008.0	1227.0	2310.0	744.0	6324.0	981779.0	1325933.86764
HC43	1612.0	2253.0	4699.0	3266.0	1797.0	9967.0	13672.0	10965.0	2595.0	15918.0	7404.0	7268.0	6502.0	13132.0	1709.0	4325.0	4251.0	3524.0	4247.0	2169.0	8584.0	3638.0	13129.0	9553.0	2338.0	16985.0	23012.0	11267.0	12912.0	9454.0	1673.0	2518.0	893.0	8787.0	1137518.0	1558179.13074
HC44	2062.0	1854.0	5987.0	2843.0	1886.0	9396.0	10298.0	10048.0	2039.0	11413.0	6796.0	5247.0	4979.0	12477.0	1673.0	3586.0	3438.0	2632.0	3798.0	1704.0	9246.0	2586.0	12618.0	7905.0	1791.0	15394.0	19611.0	11011.0	11955.0	8508.0	1261.0	2431.0	738.0	6049.0	1043056.0	1387201.09894
HC45	2183.0	2136.0	5917.0	2804.0	2348.0	8132.0	13529.0	11656.0	2207.0	11160.0	8712.0	6486.0	5939.0	10432.0	2268.0	4043.0	3088.0	2763.0	3962.0	1583.0	9132.0	3226.0	12913.0	9724.0	1275.0	16086.0	23752.0	13951.0	10880.0	8762.0	1291.0	2771.0	719.0	6304.0	1079887.0	1368370.62699
HC46	2249.0	2011.0	4642.0	2974.0	1711.0	8263.0	12721.0	10545.0	2585.0	10738.0	5937.0	7151.0	4647.0	10985.0	2209.0	2970.0	3855.0	2610.0	3375.0	1976.0	8177.0	3340.0	9509.0	9800.0	1633.0	13547.0	18153.0	10700.0	8368.0	9753.0	1365.0	1926.0	624.0	6570.0	937848.0	1331129.39783
