rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
HC01	2158.0	2451.0	6221.0	3063.0	2301.0	10918.0	14149.0	10490.0	2301.0	13596.0	7109.0	8681.0	5466.0	14685.0	1974.0	4899.0	5004.0	3471.0	5648.0	1897.0	8678.0	3636.0	14042.0	9630.0	2234.0	21948.0	31034.0	10327.0	14063.0	8455.0	1604.0	2119.0	915.0	7734.0	1206979.0	1620379.1045
HC02	1721.0	1985.0	3999.0	3018.0	1809.0	9742.0	12551.0	9227.0	2195.0	12027.0	7336.0	7546.0	5097.0	10556.0	1898.0	3838.0	3941.0	2515.0	4504.0	1634.0	8267.0	2880.0	12069.0	8761.0	1599.0	16491.0	19732.0	13093.0	10608.0	10158.0	1184.0	2496.0	1059.0	6310.0	1059427.0	1436166.52188
HC03	2128.0	2124.0	7659.0	3576.0	2320.0	9473.0	13494.0	12905.0	2284.0	13581.0	6648.0	5669.0	5367.0	11430.0	1708.0	3774.0	3918.0	2805.0	4068.0	2224.0	10246.0	3559.0	13152.0	10410.0	2708.0	17196.0	23723.0	13206.0	12086.0	9421.0	1307.0	2561.0	973.0	7063.0	1180906.0	1540081.82563
HC04	2115.0	2517.0	5838.0	2698.0	2124.0	12756.0	17337.0	12311.0	2011.0	13468.0	7161.0	6347.0	5776.0	10812.0	2100.0	5212.0	3233.0	2540.0	4192.0	1869.0	9862.0	3643.0	14157.0	9214.0	2277.0	15924.0	25323.0	12571.0	12170.0	10613.0	1619.0	2382.0	973.0	8258.0	1169170.0	1611530.19276
HC05	2095.0	1386.0	4285.0	3896.0	1634.0	8753.0	15455.0	9977.0	2378.0	12952.0	8010.0	7697.0	5453.0	12408.0	2067.0	3918.0	3755.0	3607.0	4200.0	2107.0	8232.0	2373.0	12076.0	9595.0	1677.0	15549.0	22210.0	12458.0	11194.0	10672.0	1539.0	2738.0	738.0	6347.0	1021400.0	1380200.55824
HC06	2602.0	2257.0	8064.0	4753.0	1942.0	10989.0	14340.0	9689.0	2990.0	15555.0	9003.0	7603.0	5596.0	14137.0	2204.0	3325.0	3954.0	3420.0	4547.0	2265.0	8376.0	2984.0	14821.0	10521.0	2279.0	18049.0	20213.0	13019.0	11837.0	12021.0	1415.0	3566.0	869.0	7356.0	1220001.0	1589834.95231
HC07	1902.0	1961.0	5437.0	3041.0	2479.0	10073.0	14089.0	11014.0	1910.0	11270.0	5765.0	6440.0	5466.0	10084.0	2081.0	3524.0	3594.0	2723.0	3650.0	2040.0	8707.0	2924.0	12909.0	9600.0	2143.0	14688.0	19324.0	12902.0	10226.0	11974.0	1185.0	2618.0	799.0	7332.0	1143052.0	1491275.32548
HC08	2077.0	1452.0	6002.0	3506.0	1475.0	8000.0	14102.0	9415.0	2258.0	11749.0	7670.0	7269.0	4922.0	11661.0	1676.0	3520.0	3630.0	3041.0	4077.0	2376.0	7667.0	2523.0	11591.0	8884.0	1776.0	16482.0	20292.0	12935.0	11107.0	9061.0	1058.0	2523.0	868.0	6321.0	1109638.0	1468241.07592
HC09	1932.0	2150.0	7230.0	3337.0	3026.0	11062.0	16916.0	12761.0	2578.0	13434.0	8562.0	7598.0	7255.0	14841.0	2743.0	4239.0	4736.0	2975.0	5177.0	2350.0	9678.0	4038.0	13906.0	9151.0	1871.0	19952.0	25196.0	14771.0	11657.0	9849.0	1213.0	2719.0	985.0	8072.0	1260684.0	1755068.71106
HC10	2129.0	1662.0	5414.0	2912.0	2061.0	7915.0	14379.0	10248.0	2240.0	11044.0	7300.0	5830.0	5620.0	12228.0	1994.0	3657.0	3548.0	2535.0	3328.0	1953.0	9527.0	2906.0	12388.0	10042.0	1745.0	14531.0	22218.0	11494.0	11529.0	8149.0	1207.0	2482.0	669.0	5913.0	1110073.0	1505293.9921
HC11	1739.0	2395.0	7202.0	3523.0	2075.0	8614.0	13315.0	11777.0	2942.0	11580.0	7349.0	7530.0	5727.0	11878.0	1966.0	3962.0	3913.0	2764.0	3920.0	2003.0	8835.0	3466.0	13992.0	8702.0	1961.0	15901.0	20989.0	13639.0	9218.0	9468.0	1423.0	2142.0	691.0	7256.0	1061095.0	1399092.42291
HC12	3340.0	2978.0	7294.0	4053.0	1569.0	11012.0	15684.0	11783.0	2425.0	15289.0	7901.0	7103.0	6414.0	13036.0	1990.0	3422.0	5042.0	3270.0	4784.0	1890.0	9197.0	2951.0	13336.0	11227.0	2695.0	19068.0	22386.0	13980.0	14463.0	10348.0	1520.0	2282.0	1093.0	8392.0	1331754.0	1731914.23044
HC13	2585.0	1737.0	7591.0	3487.0	2136.0	9139.0	17658.0	14256.0	3327.0	15194.0	7685.0	8731.0	6002.0	14252.0	2692.0	3594.0	4202.0	3417.0	4833.0	2559.0	9191.0	3608.0	14497.0	10695.0	2748.0	19477.0	27158.0	13440.0	13261.0	11851.0	1623.0	2321.0	931.0	9004.0	1309615.0	1754069.53514
HC14	2446.0	2155.0	5543.0	3810.0	1733.0	9698.0	13880.0	9300.0	2425.0	11898.0	7804.0	6972.0	5701.0	11487.0	1990.0	3924.0	3835.0	2176.0	4827.0	2490.0	9245.0	3368.0	13407.0	9884.0	2306.0	17127.0	20459.0	10493.0	12841.0	10349.0	1491.0	2637.0	904.0	6289.0	1133850.0	1493839.22986
HC15	2044.0	2016.0	7310.0	3463.0	2287.0	10440.0	14038.0	11091.0	2537.0	12281.0	7861.0	7183.0	5729.0	11352.0	2239.0	3953.0	3544.0	3435.0	5016.0	2724.0	10684.0	3581.0	15850.0	9573.0	2376.0	17487.0	22025.0	12488.0	11957.0	11294.0	1438.0	2937.0	963.0	8046.0	1153292.0	1529120.52248
HC16	1995.0	1798.0	6561.0	2923.0	1589.0	9741.0	14496.0	11389.0	2619.0	10409.0	7511.0	6863.0	5725.0	11789.0	2001.0	3339.0	3673.0	2612.0	3852.0	2009.0	8594.0	2849.0	12083.0	8731.0	1449.0	16175.0	18086.0	12330.0	10505.0	9068.0	1322.0	2396.0	700.0	5350.0	994103.0	1301660.01135
HC17	2377.0	1744.0	4025.0	2542.0	1331.0	9214.0	14850.0	9453.0	1927.0	10448.0	7121.0	5417.0	4554.0	10851.0	1677.0	4434.0	3360.0	2466.0	3251.0	2018.0	7737.0	2826.0	12763.0	9250.0	1761.0	15030.0	18843.0	12460.0	10400.0	9342.0	1450.0	2247.0	804.0	5860.0	1056334.0	1406476.31894
HC18	2420.0	3208.0	7195.0	4001.0	1770.0	9242.0	14301.0	11891.0	3245.0	15425.0	8367.0	6532.0	5788.0	12969.0	2406.0	4382.0	4684.0	2976.0	4767.0	2304.0	9900.0	3585.0	14069.0	10832.0	2570.0	19526.0	22814.0	13720.0	13018.0	10885.0	1587.0	2692.0	1065.0	7468.0	1250052.0	1707011.55331
